sample_name	seqnames	start	end	width	strand	score	annotation_detailed	annotation_simple	tss_distance	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	species	sample_source	gene_marking_percent
Mouse BM (62.20%)	3	56606011	56606011	1	+	32	Distal Intergenic	Distal Intergenic	130197	3	56735738	56736208	471	2	ENSMUSG00000105113	ENSMUST00000200018	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	21437275	21437275	1	-	29	Intron (ENSMUST00000087600/ENSMUSG00000058624, intron 1 of 13)	Intron	12677	19	21396089	21449952	53864	2	ENSMUSG00000058624	ENSMUST00000136258	Mmusculus	bm	62.2
Mouse BM (62.20%)	16	50153602	50153602	1	+	28	Intron (ENSMUST00000138166/ENSMUSG00000022641, intron 2 of 16)	Intron	-2246	16	50017522	50151356	133835	2	ENSMUSG00000022641	ENSMUST00000114488	Mmusculus	bm	62.2
Mouse BM (62.20%)	17	15333481	15333481	1	-	28	Distal Intergenic	Distal Intergenic	-38940	17	15372421	15393320	20900	1	ENSMUSG00000116655	ENSMUST00000231330	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	12238078	12238078	1	+	27	Promoter (<=1kb)	Promoter	-318	19	12238396	12247751	9356	1	ENSMUSG00000060049	ENSMUST00000207969	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	103902195	103902195	1	-	23	Promoter (<=1kb)	Promoter	-654	13	103889176	103901541	12366	2	ENSMUSG00000032621	ENSMUST00000210836	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	16109111	16109111	1	+	22	Intron (ENSMUST00000211741/ENSMUSG00000052833, intron 2 of 8)	Intron	-6584	7	16068193	16102527	34335	2	ENSMUSG00000052833	ENSMUST00000209749	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	93227902	93227902	1	-	21	3' UTR	3' UTR	2722	1	93229150	93230624	1475	2	ENSMUSG00000026273	ENSMUST00000136754	Mmusculus	bm	62.2
Mouse BM (62.20%)	16	45587840	45587840	1	+	21	Intron (ENSMUST00000036355/ENSMUSG00000033149, intron 12 of 17)	Intron	4806	16	45583063	45592646	9584	2	ENSMUSG00000033149	ENSMUST00000151300	Mmusculus	bm	62.2
Mouse BM (62.20%)	15	97787186	97787186	1	+	19	Intron (ENSMUST00000023119/ENSMUSG00000022479, intron 1 of 9)	Intron	7508	15	97774657	97794694	20038	2	ENSMUSG00000022479	ENSMUST00000126568	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	25196042	25196042	1	-	17	Distal Intergenic	Distal Intergenic	-18297	19	25214339	25411860	197522	1	ENSMUSG00000032702	ENSMUST00000049400	Mmusculus	bm	62.2
Mouse BM (62.20%)	3	9612751	9612751	1	+	15	Intron (ENSMUST00000041124/ENSMUSG00000040209, intron 2 of 8)	Intron	17608	3	9503352	9630359	127008	2	ENSMUSG00000040209	ENSMUST00000193947	Mmusculus	bm	62.2
Mouse BM (62.20%)	17	83519266	83519266	1	-	15	Distal Intergenic	Distal Intergenic	-3455	17	83522721	83532499	9779	1	ENSMUSG00000024247	ENSMUST00000170794	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	9174145	9174145	1	-	14	Intron (ENSMUST00000015486/ENSMUSG00000015342, intron 2 of 2)	Intron	-9913	20	9184058	9184215	158	1	ENSMUSG00000065155	ENSMUST00000083221	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	9810626	9810626	1	+	13	Intron (ENSMUST00000110636/ENSMUSG00000021156, intron 1 of 14)	Intron	-3711	13	9803777	9806915	3139	2	ENSMUSG00000113650	ENSMUST00000221759	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	174151847	174151847	1	+	12	Distal Intergenic	Distal Intergenic	-6237	1	174158084	174160439	2356	1	ENSMUSG00000026531	ENSMUST00000027816	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	64820978	64820978	1	+	12	Intron (ENSMUST00000028252/ENSMUSG00000026888, intron 2 of 13)	Intron	-14865	2	64760533	64806113	45581	2	ENSMUSG00000026888	ENSMUST00000156765	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	21394321	21394321	1	-	12	Distal Intergenic	Distal Intergenic	-72786	10	21321080	21321535	456	2	ENSMUSG00000112738	ENSMUST00000219604	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	41778181	41778181	1	-	12	Intron (ENSMUST00000099931/ENSMUSG00000038332, intron 5 of 9)	Intron	3812	10	41774369	41778545	4177	1	ENSMUSG00000038332	ENSMUST00000214835	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	33982957	33982957	1	-	11	Distal Intergenic	Distal Intergenic	-13611	6	33961924	33969346	7423	2	ENSMUSG00000087441	ENSMUST00000155496	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	64950841	64950841	1	-	11	Distal Intergenic	Distal Intergenic	16634	8	64967366	64967475	110	2	ENSMUSG00000076042	ENSMUST00000102088	Mmusculus	bm	62.2
Mouse BM (62.20%)	12	99904613	99904613	1	-	11	Intron (ENSMUST00000153627/ENSMUSG00000021177, intron 14 of 15)	Intron	22888	12	99881725	99885563	3839	1	ENSMUSG00000021177	ENSMUST00000220685	Mmusculus	bm	62.2
Mouse BM (62.20%)	14	34221778	34221778	1	-	11	Promoter (1-2kb)	Promoter	-1894	14	34223672	34224641	970	1	ENSMUSG00000090779	ENSMUST00000171248	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	6557988	6557988	1	+	11	Distal Intergenic	Distal Intergenic	68648	20	6489340	6549502	60163	1	ENSMUSG00000068270	ENSMUST00000089520	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	145592008	145592008	1	+	10	Distal Intergenic	Distal Intergenic	-389579	1	145199132	145202429	3298	2	ENSMUSG00000103055	ENSMUST00000194549	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	128782876	128782876	1	-	10	Intron (ENSMUST00000028866/ENSMUSG00000027387, intron 1 of 8)	Intron	3121	2	128768188	128785997	17810	2	ENSMUSG00000027387	ENSMUST00000028866	Mmusculus	bm	62.2
Mouse BM (62.20%)	4	85896218	85896218	1	-	10	Intron (ENSMUST00000213098/ENSMUSG00000066113, intron 2 of 3)	Intron	65513	4	85961631	85961731	101	2	ENSMUSG00000064687	ENSMUST00000082753	Mmusculus	bm	62.2
Mouse BM (62.20%)	14	109456391	109456391	1	-	10	Distal Intergenic	Distal Intergenic	-304140	14	109760531	109761528	998	1	ENSMUSG00000115642	ENSMUST00000227701	Mmusculus	bm	62.2
Mouse BM (62.20%)	15	80801792	80801792	1	-	10	Exon (ENSMUST00000226442/ENSMUSG00000047888, exon 1 of 1)	Exon	1675	15	80800117	80803418	3302	1	ENSMUSG00000047888	ENSMUST00000226442	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	3573993	3573993	1	-	10	Intron (ENSMUST00000025846/ENSMUSG00000024908, intron 3 of 22)	Intron	-2246	19	3561495	3571747	10253	2	ENSMUSG00000024908	ENSMUST00000225339	Mmusculus	bm	62.2
Mouse BM (62.20%)	5	137709956	137709956	1	+	9	Distal Intergenic	Distal Intergenic	10046	5	137718616	137720002	1387	2	ENSMUSG00000082088	ENSMUST00000119241	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	90133745	90133745	1	-	9	Intron (ENSMUST00000159199/ENSMUSG00000021615, intron 6 of 8)	Intron	-58083	13	90075561	90075662	102	2	ENSMUSG00002075582	ENSMUST00020183197	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	167689052	167689052	1	-	9	Intron (ENSMUST00000033721/ENSMUSG00000031355, intron 1 of 12)	Intron	110957	20	167578095	168087431	509337	1	ENSMUSG00000031355	ENSMUST00000033721	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	38988091	38988091	1	-	8	Intron (ENSMUST00000088029/ENSMUSG00000067604, intron 9 of 9)	Intron	9807	1	38978284	38987724	9441	1	ENSMUSG00000067604	ENSMUST00000160214	Mmusculus	bm	62.2
Mouse BM (62.20%)	3	140140782	140140782	1	+	8	Distal Intergenic	Distal Intergenic	72246	3	140212479	140213028	550	2	ENSMUSG00000104596	ENSMUST00000196082	Mmusculus	bm	62.2
Mouse BM (62.20%)	4	119316119	119316119	1	-	8	Intron (ENSMUST00000129150/ENSMUSG00000070806, intron 2 of 2)	Intron	14202	4	119301917	119324641	22725	1	ENSMUSG00000070806	ENSMUST00000129150	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	35264098	35264098	1	-	8	Distal Intergenic	Distal Intergenic	-8369	7	35246610	35255729	9120	2	ENSMUSG00000034875	ENSMUST00000040962	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	55004640	55004640	1	-	8	Distal Intergenic	Distal Intergenic	78956	7	54925684	54927906	2223	1	ENSMUSG00000108325	ENSMUST00000205934	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	126660708	126660708	1	+	8	Intron (ENSMUST00000205559/ENSMUSG00000049350, intron 1 of 4)	Intron	-6920	7	126667628	126670211	2584	1	ENSMUSG00000108327	ENSMUST00000206939	Mmusculus	bm	62.2
Mouse BM (62.20%)	18	57275469	57275469	1	-	8	Promoter (<=1kb)	Promoter	-389	18	57275858	57425800	149943	1	ENSMUSG00000024593	ENSMUST00000139892	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	45128869	45128869	1	-	7	Intron (ENSMUST00000210701/ENSMUSG00000109926, intron 2 of 5)	Intron	486	7	45125054	45129355	4302	2	ENSMUSG00000011382	ENSMUST00000209450	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	123104695	123104695	1	+	7	Intron (ENSMUST00000017622/ENSMUSG00000017478, intron 1 of 18)	Intron	1275	8	123103420	123144098	40679	1	ENSMUSG00000017478	ENSMUST00000176629	Mmusculus	bm	62.2
Mouse BM (62.20%)	12	40655897	40655897	1	-	7	Intron (ENSMUST00000037488/ENSMUSG00000035954, intron 1 of 52)	Intron	159562	12	40496335	40896179	399845	1	ENSMUSG00000035954	ENSMUST00000220912	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	84697096	84697096	1	-	7	Distal Intergenic	Distal Intergenic	141964	13	84838329	84839060	732	2	ENSMUSG00000098081	ENSMUST00000182391	Mmusculus	bm	62.2
Mouse BM (62.20%)	18	33948900	33948900	1	+	7	Intron (ENSMUST00000025234/ENSMUSG00000024376, intron 18 of 23)	Intron	-12749	18	33930444	33936151	5708	2	ENSMUSG00000024376	ENSMUST00000235393	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	142822548	142822548	1	+	6	Distal Intergenic	Distal Intergenic	77663	2	142744885	142745492	608	1	ENSMUSG00000086504	ENSMUST00000124774	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	41089916	41089916	1	+	6	Promoter (<=1kb)	Promoter	-568	6	41090484	41091001	518	1	ENSMUSG00000095574	ENSMUST00000103267	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	7819337	7819337	1	+	6	Intron (ENSMUST00000237471/ENSMUSG00000118312, intron 2 of 7)	Intron	6695	19	7804468	7826032	21565	2	ENSMUSG00000118312	ENSMUST00000237471	Mmusculus	bm	62.2
Mouse BM (62.20%)	3	143336516	143336516	1	-	5	Distal Intergenic	Distal Intergenic	-14135	3	143350651	143356714	6064	1	ENSMUSG00000103816	ENSMUST00000192421	Mmusculus	bm	62.2
Mouse BM (62.20%)	5	128716276	128716276	1	+	5	Distal Intergenic	Distal Intergenic	38368	5	128677908	128681157	3250	1	ENSMUSG00000081683	ENSMUST00000117102	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	53412172	53412172	1	+	5	Intron (ENSMUST00000203528/ENSMUSG00000053007, intron 4 of 10)	Intron	1213	6	53410959	53411122	164	1	ENSMUSG00000119449	ENSMUST00000240011	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	71856532	71856532	1	+	5	Intron (ENSMUST00000079323/ENSMUSG00000032776, intron 10 of 22)	Intron	22576	7	71875116	71879108	3993	2	ENSMUSG00000032776	ENSMUST00000206976	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	112088344	112088344	1	-	5	Intron (ENSMUST00000159336/ENSMUSG00000033579, intron 1 of 6)	Intron	4765	8	112071767	112093109	21343	2	ENSMUSG00000033579	ENSMUST00000159336	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	85373214	85373214	1	-	5	Intron (ENSMUST00000105307/ENSMUSG00000020042, intron 1 of 16)	Intron	-61051	10	85434265	85496156	61892	1	ENSMUSG00000020042	ENSMUST00000105306	Mmusculus	bm	62.2
Mouse BM (62.20%)	12	108184057	108184057	1	+	5	Intron (ENSMUST00000222310/ENSMUSG00000084883, intron 2 of 5)	Intron	18713	12	108165344	108168405	3062	1	ENSMUSG00000021258	ENSMUST00000223363	Mmusculus	bm	62.2
Mouse BM (62.20%)	15	79416925	79416925	1	-	5	3' UTR	3' UTR	13831	15	79415554	79430756	15203	2	ENSMUSG00000055065	ENSMUST00000231053	Mmusculus	bm	62.2
Mouse BM (62.20%)	17	37266115	37266115	1	+	5	Intron (ENSMUST00000113669/ENSMUSG00000036315, intron 3 of 3)	Intron	3095	17	37265303	37269210	3908	2	ENSMUSG00000036315	ENSMUST00000172823	Mmusculus	bm	62.2
Mouse BM (62.20%)	17	45081620	45081620	1	+	5	Intron (ENSMUST00000238400/ENSMUSG00000039153, intron 1 of 6)	Intron	-6419	17	45088039	45430177	342139	1	ENSMUSG00000038954	ENSMUST00000050630	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	97992948	97992948	1	+	5	Distal Intergenic	Distal Intergenic	11135	20	97981813	97987641	5829	1	ENSMUSG00000047694	ENSMUST00000140479	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	162648834	162648834	1	+	5	Distal Intergenic	Distal Intergenic	-43179	20	162692013	162716662	24650	1	ENSMUSG00000031367	ENSMUST00000069041	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	124652365	124652365	1	+	4	Intron (ENSMUST00000239072/ENSMUSG00000036815, intron 1 of 25)	Intron	103100	1	124752439	124755465	3027	2	ENSMUSG00000102240	ENSMUST00000192647	Mmusculus	bm	62.2
Mouse BM (62.20%)	4	123575704	123575704	1	+	4	Intron (ENSMUST00000082108/ENSMUSG00000028649, intron 1 of 92)	Intron	2449	4	123243509	123578153	334645	2	ENSMUSG00000028649	ENSMUST00000082108	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	6843119	6843119	1	-	4	Intron (ENSMUST00000245862/ENSMUSG00000090063, intron 1 of 2)	Intron	-12328	6	6824188	6830791	6604	2	ENSMUSG00000090063	ENSMUST00000210702	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	36102120	36102120	1	-	4	Intron (ENSMUST00000037666/ENSMUSG00000070056, intron 1 of 2)	Intron	27689	8	36074431	36144174	69744	1	ENSMUSG00000070056	ENSMUST00000154989	Mmusculus	bm	62.2
Mouse BM (62.20%)	9	27533929	27533929	1	+	4	Intron (ENSMUST00000213224/ENSMUSG00000110851, intron 1 of 1)	Intron	6448	9	27527481	27537194	9714	1	ENSMUSG00000110851	ENSMUST00000213224	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	12724855	12724855	1	-	4	Intron (ENSMUST00000076817/ENSMUSG00000019820, intron 1 of 73)	Intron	3023	10	12721832	12722285	454	1	ENSMUSG00000112698	ENSMUST00000219425	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	27808472	27808472	1	+	3	Distal Intergenic	Distal Intergenic	-114587	1	27923059	27941903	18845	1	ENSMUSG00000101514	ENSMUST00000185409	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	53819502	53819502	1	+	3	Intron (ENSMUST00000027263/ENSMUSG00000026094, intron 1 of 7)	Intron	4814	1	53800308	53824316	24009	2	ENSMUSG00000026094	ENSMUST00000185920	Mmusculus	bm	62.2
Mouse BM (62.20%)	3	67647258	67647258	1	+	3	Distal Intergenic	Distal Intergenic	3372	3	67649301	67650630	1330	2	ENSMUSG00000104477	ENSMUST00000192744	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	17694927	17694927	1	+	3	Promoter (<=1kb)	Promoter	26	6	17694901	17695084	184	1	ENSMUSG00002076302	ENSMUST00020182594	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	121175524	121175524	1	-	3	Promoter (<=1kb)	Promoter	-382	6	121173634	121175142	1509	2	ENSMUSG00000107915	ENSMUST00000205150	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	25717374	25717374	1	-	3	Intron (ENSMUST00000210016/ENSMUSG00000065954, intron 1 of 5)	Intron	13505	8	25672538	25730879	58342	2	ENSMUSG00000065954	ENSMUST00000210488	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	13350897	13350897	1	+	3	Promoter (<=1kb)	Promoter	-741	10	13083461	13350156	266696	2	ENSMUSG00000062866	ENSMUST00000105545	Mmusculus	bm	62.2
Mouse BM (62.20%)	10	50018257	50018257	1	+	3	Distal Intergenic	Distal Intergenic	40833	10	50055247	50059090	3844	2	ENSMUSG00000112349	ENSMUST00000219753	Mmusculus	bm	62.2
Mouse BM (62.20%)	12	8025195	8025195	1	+	3	Distal Intergenic	Distal Intergenic	-2453	12	8027648	8037818	10171	1	ENSMUSG00000020609	ENSMUST00000171271	Mmusculus	bm	62.2
Mouse BM (62.20%)	12	63849833	63849833	1	+	3	Distal Intergenic	Distal Intergenic	-124895	12	63974728	63978535	3808	1	ENSMUSG00000113684	ENSMUST00000222419	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	111560204	111560204	1	+	3	Distal Intergenic	Distal Intergenic	29712	13	111577206	111589916	12711	2	ENSMUSG00000032745	ENSMUST00000143331	Mmusculus	bm	62.2
Mouse BM (62.20%)	15	12286153	12286153	1	+	3	Promoter (<=1kb)	Promoter	-602	15	12286755	12287539	785	1	ENSMUSG00000115594	ENSMUST00000227442	Mmusculus	bm	62.2
Mouse BM (62.20%)	17	5055240	5055240	1	+	3	Intron (ENSMUST00000124362/ENSMUSG00000069729, intron 1 of 2)	Intron	8536	17	5046704	5148461	101758	1	ENSMUSG00000069729	ENSMUST00000156775	Mmusculus	bm	62.2
Mouse BM (62.20%)	18	27667715	27667715	1	-	3	Distal Intergenic	Distal Intergenic	-63982	18	27731697	27732809	1113	1	ENSMUSG00000046636	ENSMUST00000050143	Mmusculus	bm	62.2
Mouse BM (62.20%)	18	88952626	88952626	1	+	3	Distal Intergenic	Distal Intergenic	-3644	18	88956270	88956419	150	1	ENSMUSG00000117777	ENSMUST00000235800	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	44151565	44151565	1	-	2	Promoter (1-2kb)	Promoter	-1615	1	44130724	44149950	19227	2	ENSMUSG00000101104	ENSMUST00000134195	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	106546304	106546304	1	-	2	Intron (ENSMUST00000111063/ENSMUSG00000016386, intron 2 of 6)	Intron	-14531	2	106560835	106614322	53488	1	ENSMUSG00000016386	ENSMUST00000133401	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	133891360	133891360	1	+	2	Distal Intergenic	Distal Intergenic	-465019	2	133426235	133426341	107	2	ENSMUSG00000119228	ENSMUST00000239857	Mmusculus	bm	62.2
Mouse BM (62.20%)	2	146763811	146763811	1	+	2	Intron (ENSMUST00000099278/ENSMUSG00000074749, intron 6 of 13)	Intron	-30992	2	146794803	146812012	17210	1	ENSMUSG00000074749	ENSMUST00000135595	Mmusculus	bm	62.2
Mouse BM (62.20%)	4	82263036	82263036	1	+	2	Intron (ENSMUST00000050872/ENSMUSG00000008575, intron 6 of 11)	Intron	-94611	4	82357647	82357751	105	1	ENSMUSG00002075784	ENSMUST00020182629	Mmusculus	bm	62.2
Mouse BM (62.20%)	5	33434941	33434941	1	-	2	Distal Intergenic	Distal Intergenic	-2603	5	33405067	33432338	27272	2	ENSMUSG00000037373	ENSMUST00000079746	Mmusculus	bm	62.2
Mouse BM (62.20%)	6	144115374	144115374	1	+	2	Intron (ENSMUST00000038815/ENSMUSG00000041540, intron 1 of 14)	Intron	34409	6	144062204	144149783	87580	2	ENSMUSG00000041540	ENSMUST00000139478	Mmusculus	bm	62.2
Mouse BM (62.20%)	7	113814874	113814874	1	-	2	3' UTR	3' UTR	2522	7	113814829	113817396	2568	2	ENSMUSG00000030754	ENSMUST00000209394	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	34435741	34435741	1	-	2	Distal Intergenic	Distal Intergenic	-15850	8	34272671	34419891	147221	2	ENSMUSG00000031586	ENSMUST00000053251	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	89760421	89760421	1	+	2	Intron (ENSMUST00000034090/ENSMUSG00000031665, intron 2 of 3)	Intron	-7900	8	89768321	89795969	27649	1	ENSMUSG00000120400	ENSMUST00000243370	Mmusculus	bm	62.2
Mouse BM (62.20%)	11	53223546	53223546	1	-	2	3' UTR	3' UTR	5319	11	53218227	53223306	5080	1	ENSMUSG00000018239	ENSMUST00000141585	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	99517378	99517378	1	-	2	Intron (ENSMUST00000052249/ENSMUSG00000041632, intron 4 of 10)	Intron	31751	13	99533432	99549129	15698	2	ENSMUSG00000097828	ENSMUST00000180491	Mmusculus	bm	62.2
Mouse BM (62.20%)	14	68427448	68427448	1	-	2	Distal Intergenic	Distal Intergenic	-22925	14	68404402	68404523	122	2	ENSMUSG00000087772	ENSMUST00000157147	Mmusculus	bm	62.2
Mouse BM (62.20%)	14	98294588	98294588	1	+	2	Intron (ENSMUST00000069334/ENSMUSG00000055639, intron 1 of 10)	Intron	-61357	14	98355945	98356442	498	1	ENSMUSG00000086133	ENSMUST00000144274	Mmusculus	bm	62.2
Mouse BM (62.20%)	15	80995414	80995414	1	-	2	Intron (ENSMUST00000134469/ENSMUSG00000042292, intron 3 of 14)	Intron	4632	15	80999234	81000046	813	2	ENSMUSG00000116321	ENSMUST00000230595	Mmusculus	bm	62.2
Mouse BM (62.20%)	16	81448765	81448765	1	-	2	Distal Intergenic	Distal Intergenic	-140339	16	81589104	81590886	1783	1	ENSMUSG00000116803	ENSMUST00000231467	Mmusculus	bm	62.2
Mouse BM (62.20%)	19	25207443	25207443	1	+	2	Distal Intergenic	Distal Intergenic	-6896	19	25214339	25411860	197522	1	ENSMUSG00000032702	ENSMUST00000049400	Mmusculus	bm	62.2
Mouse BM (62.20%)	X	41414220	41414220	1	+	2	Distal Intergenic	Distal Intergenic	-22169	20	41436389	41436556	168	1	ENSMUSG00000083450	ENSMUST00000120480	Mmusculus	bm	62.2
Mouse BM (65.10%)	13	108413193	108413193	1	+	303	Intron (ENSMUST00000022207/ENSMUSG00000021696, intron 6 of 7)	Intron	34091	13	108445736	108447284	1549	2	ENSMUSG00000114607	ENSMUST00000225465	Mmusculus	bm	65.1
Mouse BM (65.10%)	9	69900575	69900575	1	+	286	Intron (ENSMUST00000034754/ENSMUSG00000011958, intron 1 of 10)	Intron	-2185	9	69902760	69914397	11638	1	ENSMUSG00000011958	ENSMUST00000165389	Mmusculus	bm	65.1
Mouse BM (65.10%)	1	53800427	53800427	1	+	128	Exon (ENSMUST00000187066/ENSMUSG00000026094, exon 1 of 1)	Exon	1425	1	53799732	53801852	2121	2	ENSMUSG00000026094	ENSMUST00000187066	Mmusculus	bm	65.1
Mouse BM (65.10%)	5	32170143	32170143	1	-	125	Promoter (1-2kb)	Promoter	-1936	5	32163321	32168207	4887	2	ENSMUSG00000106894	ENSMUST00000201542	Mmusculus	bm	65.1
Mouse BM (65.10%)	7	66581842	66581842	1	-	111	Intron (ENSMUST00000156396/ENSMUSG00000058145, intron 8 of 8)	Intron	22626	7	66559216	66619303	60088	1	ENSMUSG00000058145	ENSMUST00000138009	Mmusculus	bm	65.1
Mouse BM (65.10%)	12	86306844	86306844	1	-	96	Exon (ENSMUST00000220646/ENSMUSG00000021254, exon 1 of 1)	Exon	591	12	86306253	86309341	3089	1	ENSMUSG00000021254	ENSMUST00000220646	Mmusculus	bm	65.1
Mouse BM (65.10%)	9	62412990	62412990	1	-	82	Intron (ENSMUST00000048043/ENSMUSG00000041729, intron 1 of 11)	Intron	4790	9	62335218	62417780	82563	2	ENSMUSG00000041729	ENSMUST00000164246	Mmusculus	bm	65.1
Mouse BM (65.10%)	17	43792526	43792526	1	+	66	Intron (ENSMUST00000117137/ENSMUSG00000023914, intron 10 of 13)	Intron	18847	17	43808791	43811373	2583	2	ENSMUSG00000023914	ENSMUST00000130964	Mmusculus	bm	65.1
Mouse BM (65.10%)	4	63710343	63710343	1	-	56	Distal Intergenic	Distal Intergenic	-46993	4	63642840	63663350	20511	2	ENSMUSG00000050395	ENSMUST00000239480	Mmusculus	bm	65.1
Mouse BM (65.10%)	11	57505188	57505188	1	+	50	Distal Intergenic	Distal Intergenic	-31080	11	57536268	57678340	142073	1	ENSMUSG00000020520	ENSMUST00000066987	Mmusculus	bm	65.1
Mouse BM (65.10%)	12	119033689	119033689	1	+	47	Distal Intergenic	Distal Intergenic	-2524	12	119030800	119031165	366	2	ENSMUSG00000114030	ENSMUST00000221798	Mmusculus	bm	65.1
Mouse BM (65.10%)	19	3130012	3130012	1	+	45	Intron (ENSMUST00000237047/ENSMUSG00000100969, intron 2 of 5)	Intron	-54633	19	3184645	3184959	315	1	ENSMUSG00000117761	ENSMUST00000235610	Mmusculus	bm	65.1
Mouse BM (65.10%)	1	37790604	37790604	1	-	41	Distal Intergenic	Distal Intergenic	-31438	1	37650758	37759166	108409	2	ENSMUSG00000026090	ENSMUST00000162875	Mmusculus	bm	65.1
Mouse BM (65.10%)	7	138876344	138876344	1	-	40	Exon (ENSMUST00000209810/ENSMUSG00000110115, exon 2 of 2)	Exon	437	7	138872733	138876781	4049	2	ENSMUSG00000110115	ENSMUST00000209810	Mmusculus	bm	65.1
Mouse BM (65.10%)	1	6597946	6597946	1	+	36	Intron (ENSMUST00000140079/ENSMUSG00000033740, intron 2 of 23)	Intron	40391	1	6557555	6931164	373610	1	ENSMUSG00000033740	ENSMUST00000131494	Mmusculus	bm	65.1
Mouse BM (65.10%)	17	47752307	47752307	1	+	36	Intron (ENSMUST00000037701/ENSMUSG00000034382, intron 1 of 4)	Intron	-4006	17	47724553	47748301	23749	2	ENSMUSG00000047150	ENSMUST00000160678	Mmusculus	bm	65.1
Mouse BM (65.10%)	18	31741235	31741235	1	-	36	Promoter (1-2kb)	Promoter	-1330	18	31742565	31747100	4536	1	ENSMUSG00000092124	ENSMUST00000164667	Mmusculus	bm	65.1
Mouse BM (65.10%)	3	65900412	65900412	1	+	35	Distal Intergenic	Distal Intergenic	-3238	3	65894579	65897174	2596	2	ENSMUSG00000103641	ENSMUST00000194681	Mmusculus	bm	65.1
Mouse BM (65.10%)	6	8753106	8753106	1	-	35	Intron (ENSMUST00000156695/ENSMUSG00000062995, intron 2 of 10)	Intron	5293	6	8630527	8758399	127873	2	ENSMUSG00000062995	ENSMUST00000156695	Mmusculus	bm	65.1
Mouse BM (65.10%)	16	13196491	13196491	1	-	34	Intron (ENSMUST00000009713/ENSMUSG00000009569, intron 4 of 16)	Intron	20206	16	13176285	13235393	59109	1	ENSMUSG00000009569	ENSMUST00000149359	Mmusculus	bm	65.1
Mouse BM (65.10%)	6	71535915	71535915	1	+	29	Intron (ENSMUST00000059462/ENSMUSG00000053119, intron 2 of 5)	Intron	14578	6	71521337	71551111	29775	1	ENSMUSG00000053119	ENSMUST00000142169	Mmusculus	bm	65.1
Mouse BM (65.10%)	4	115403446	115403446	1	+	28	Promoter (1-2kb)	Promoter	-1185	4	115400582	115402261	1680	2	ENSMUSG00000081006	ENSMUST00000118753	Mmusculus	bm	65.1
Mouse BM (65.10%)	14	76462145	76462145	1	+	27	Distal Intergenic	Distal Intergenic	12840	14	76474131	76474985	855	2	ENSMUSG00000095427	ENSMUST00000095471	Mmusculus	bm	65.1
